CUSEC,total,unipersonal,h_65+,h_65-,m_65+,m_65-,gana,pc_unipersonal,pc_h_65+,pc_h_65-,pc_m_65+,pc_m_65-
0401307008,624,240,24,81,57,72,1,"38,46","3,85","12,98","9,13","11,54"
0401307010,693,216,18,57,33,60,1,"31,17","2,6","8,23","4,76","8,66"
0401307011,483,114,12,24,21,24,"2, 3","23,6","2,48","4,97","4,35","4,97"
0401307012,729,174,6,42,36,69,2,"23,87","0,82","5,76","4,94","9,47"
0401307013,549,147,15,39,33,24,2,"26,78","2,73","7,1","6,01","4,37"
0401307014,867,324,33,123,93,93,1,"37,37","3,81","14,19","10,73","10,73"
0401307015,882,288,24,108,78,84,1,"32,65","2,72","12,24","8,84","9,52"
0401307016,753,225,21,57,36,66,1,"29,88","2,79","7,57","4,78","8,76"
0401307017,564,147,15,42,36,36,"1, 2","26,06","2,66","7,45","6,38","6,38"
0401307018,969,261,12,120,99,96,1,"26,93","1,24","12,38","10,22","9,91"
0401307019,606,228,27,72,54,63,1,"37,62","4,46","11,88","8,91","10,4"
0401307020,597,87,6,27,18,36,4,"14,57","1,01","4,52","3,02","6,03"
0401307021,987,228,18,105,84,54,2,"23,1","1,82","10,64","8,51","5,47"
0401307022,837,150,21,63,45,30,2,"17,92","2,51","7,53","5,38","3,58"
0401307023,744,147,9,60,51,33,2,"19,76","1,21","8,06","6,85","4,44"
0401307024,411,102,6,60,45,15,1,"24,82","1,46","14,6","10,95","3,65"
0401307025,834,186,18,54,39,48,2,"22,3","2,16","6,47","4,68","5,76"
0401307026,348,102,12,24,18,24,1,"29,31","3,45","6,9","5,17","6,9"
0401307027,309,102,12,21,18,33,1,"33,01","3,88","6,8","5,83","10,68"
0401307028,546,171,21,30,27,33,1,"31,32","3,85","5,49","4,95","6,04"
0401307029,429,120,18,21,15,33,2,"27,97","4,2","4,9","3,5","7,69"
0401307030,783,201,15,93,78,54,1,"25,67","1,92","11,88","9,96","6,9"
0401307031,330,81,9,18,15,18,2,"24,55","2,73","5,45","4,55","5,45"
0401307032,555,156,21,33,27,39,2,"28,11","3,78","5,95","4,86","7,03"
0401307033,528,126,18,18,12,27,2,"23,86","3,41","3,41","2,27","5,11"
0401307034,519,111,21,24,12,24,2,"21,39","4,05","4,62","2,31","4,62"
0401307035,909,366,33,138,99,111,1,"40,26","3,63","15,18","10,89","12,21"
0401307036,543,150,9,45,33,45,1,"27,62","1,66","8,29","6,08","8,29"
0401307037,846,195,15,84,63,72,3,"23,05","1,77","9,93","7,45","8,51"
0401307038,591,168,12,81,66,45,1,"28,43","2,03","13,71","11,17","7,61"
0401307039,597,147,12,42,30,57,2,"24,62","2,01","7,04","5,03","9,55"
0401307040,447,96,12,48,36,15,2,"21,48","2,68","10,74","8,05","3,36"
0401307041,945,156,18,84,60,36,"3, 4","16,51","1,9","8,89","6,35","3,81"
0401307042,519,135,12,48,36,39,2,"26,01","2,31","9,25","6,94","7,51"
0401307043,345,60,9,12,9,12,2,"17,39","2,61","3,48","2,61","3,48"
0401307044,924,225,9,90,69,102,4,"24,35","0,97","9,74","7,47","11,04"
0401307045,930,222,12,123,108,78,4,"23,87","1,29","13,23","11,61","8,39"
0401307047,516,126,9,39,33,57,"1, 4","24,42","1,74","7,56","6,4","11,05"
0401307048,552,162,6,84,66,66,1,"29,35","1,09","15,22","11,96","11,96"
0401307049,438,99,6,51,39,36,4,"22,6","1,37","11,64","8,9","8,22"
0401308001,405,81,12,36,30,21,2,20,"2,96","8,89","7,41","5,19"
0401308002,636,123,9,48,36,24,"2, 3","19,34","1,42","7,55","5,66","3,77"
0401308003,741,252,21,117,84,69,1,"34,01","2,83","15,79","11,34","9,31"
0401308004,795,147,15,75,69,33,3,"18,49","1,89","9,43","8,68","4,15"
0401308005,654,123,15,60,42,21,3,"18,81","2,29","9,17","6,42","3,21"
0401308006,486,96,15,42,39,18,4,"19,75","3,09","8,64","8,02","3,7"
0401308007,912,318,39,159,123,87,1,"34,87","4,28","17,43","13,49","9,54"
0401308008,960,327,18,174,123,117,1,"34,06","1,88","18,13","12,81","12,19"
0401308009,318,57,0,24,18,15,3,"17,92",0,"7,55","5,66","4,72"
0401308010,543,144,12,69,48,57,1,"26,52","2,21","12,71","8,84","10,5"
0401401001,96,39,3,15,18,9,1,"40,63","3,13","15,63","18,75","9,38"
0401501001,66,33,9,15,12,3,1,50,"13,64","22,73","18,18","4,55"
0401601001,768,201,18,90,66,39,1,"26,17","2,34","11,72","8,59","5,08"
0401602001,483,132,18,54,42,27,2,"27,33","3,73","11,18","8,7","5,59"
0401701001,2109,447,114,120,108,87,2,"21,19","5,41","5,69","5,12","4,13"
0401801001,150,66,3,33,24,9,1,44,2,22,16,6
0401901001,120,51,12,21,18,6,1,"42,5",10,"17,5",15,5
0402001001,150,63,6,33,27,12,1,42,4,22,18,8
0402101001,114,54,12,18,12,15,1,"47,37","10,53","15,79","10,53","13,16"
